Identifiant Client;Type de client;Age du client;Situation familiale;Ancienneté;Domiciliation du salaire;Domiciliation de l'épargne;Profession;Moyenne encours;Moyenne des mouvements;Cumul des débits;Autorisation de découvert;Interdiction de chéquier;Score 1;Score 2
0066;Bon client;plus de  50 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;plus de 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;795;710
0072;Bon client;de 40 à  50 ans;marié;anc. 1 an  ou moins;Non domicilié;moins de 10K épargne;cadre;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;595;555
0078;Bon client;de 23 à 39 ans;célibataire;anc. de 4  à 6 ans;Non domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;430;430
0084;Bon client;de 23 à 39 ans;marié;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;775;620
0090;Bon client;de 40 à  50 ans;divorcé;anc. de 4  à 6 ans;Non domicilié;moins de 10K épargne;cadre;de 2 à 5 K  encours;plus de 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;715;530
0096;Mauvais client;de 40 à  50 ans;divorcé;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   interdit;650;505
0102;Bon client;plus de  50 ans;célibataire;anc. plus   12 ans;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;550;730
0109;Mauvais client;plus de  50 ans;veuf;anc. plus   12 ans;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   interdit;630;520
0115;Bon client;plus de  50 ans;marié;anc. de 4  à 6 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  autorisé;chéquier   autorisé;785;630
0121;Bon client;plus de  50 ans;marié;anc. de 4  à 6 ans;Oui domicilié;moins de 10K épargne;employé;plus de 5 K encours;de 30 à 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;665;790
0128;Bon client;de 40 à  50 ans;marié;anc. de 1  à 4 ans;Oui domicilié;moins de 10K épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;570;545
0134;Bon client;de 23 à 39 ans;célibataire;anc. plus   12 ans;Oui domicilié;pas d'épargne;employé;moins de 2K encours;de 30 à 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;535;480
0140;Bon client;de 23 à 39 ans;célibataire;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;employé;moins de 2K encours;moins 10 K  mouvt;plus de 100  débits;découvert  autorisé;chéquier   interdit;590;295
0146;Bon client;de 40 à  50 ans;marié;anc. de 6  à 12 ans;Oui domicilié;de 10 à 100K épargne;cadre;plus de 5 K encours;plus de 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;820;780
0152;Mauvais client;de 23 à 39 ans;marié;anc. de 4  à 6 ans;Oui domicilié;pas d'épargne;employé;moins de 2K encours;moins 10 K  mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;325;345
0158;Bon client;de 40 à  50 ans;marié;anc. 1 an  ou moins;Non domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  autorisé;chéquier   autorisé;575;500
0164;Mauvais client;de 40 à  50 ans;célibataire;anc. plus   12 ans;Oui domicilié;pas d'épargne;employé;moins de 2K encours;de 30 à 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;655;500
0170;Bon client;de 23 à 39 ans;marié;anc. de 4  à 6 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 10 à 30K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   interdit;450;395
0176;Bon client;de 23 à 39 ans;marié;anc. plus   12 ans;Oui domicilié;moins de 10K épargne;employé;moins de 2K encours;moins 10 K  mouvt;plus de 100  débits;découvert  interdit;chéquier   autorisé;730;530
0182;Bon client;plus de  50 ans;marié;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;plus de 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;880;690
0188;Bon client;de 40 à  50 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;510;500
0194;Mauvais client;plus de  50 ans;divorcé;anc. plus   12 ans;Oui domicilié;moins de 10K épargne;cadre;moins de 2K encours;plus de 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;765;565
0200;Bon client;de 40 à  50 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;plus de 50K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;795;690
0207;Bon client;moins de 23 ans;marié;anc. de 1  à 4 ans;Oui domicilié;de 10 à 100K épargne;autre;plus de 5 K encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;280;650
0212;Bon client;de 23 à 39 ans;marié;anc. plus   12 ans;Oui domicilié;plus de 100K épargne;employé;plus de 5 K encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;780;960
0218;Bon client;de 40 à  50 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;plus de 100K épargne;employé;plus de 5 K encours;plus de 50K mouvt;plus de 100  débits;découvert  interdit;chéquier   autorisé;680;715
0224;Bon client;de 40 à  50 ans;divorcé;anc. plus   12 ans;Oui domicilié;pas d'épargne;cadre;de 2 à 5 K  encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;820;710
0230;Bon client;moins de 23 ans;marié;anc. de 4  à 6 ans;Non domicilié;de 10 à 100K épargne;cadre;plus de 5 K encours;plus de 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;705;650
0236;Bon client;de 23 à 39 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;550;415
0243;Bon client;de 23 à 39 ans;célibataire;anc. plus   12 ans;Oui domicilié;moins de 10K épargne;cadre;plus de 5 K encours;de 30 à 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;680;815
0249;Bon client;de 40 à  50 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;675;735
0255;Bon client;plus de  50 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;employé;moins de 2K encours;plus de 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;815;545
0261;Bon client;plus de  50 ans;marié;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;cadre;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;875;625
0267;Bon client;de 40 à  50 ans;marié;anc. plus   12 ans;Non domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  autorisé;chéquier   autorisé;710;665
0273;Bon client;plus de  50 ans;divorcé;anc. plus   12 ans;Oui domicilié;de 10 à 100K épargne;cadre;plus de 5 K encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;770;890
0279;Bon client;de 40 à  50 ans;marié;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;cadre;de 2 à 5 K  encours;plus de 50K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;735;490
0285;Bon client;de 40 à  50 ans;divorcé;anc. 1 an  ou moins;Oui domicilié;moins de 10K épargne;employé;plus de 5 K encours;moins 10 K  mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;590;570
0291;Mauvais client;de 23 à 39 ans;divorcé;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  autorisé;chéquier   autorisé;580;465
0297;Bon client;de 40 à  50 ans;célibataire;anc. plus   12 ans;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;de 30 à 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;580;620
0303;Bon client;de 23 à 39 ans;marié;anc. de 6  à 12 ans;Oui domicilié;de 10 à 100K épargne;autre;plus de 5 K encours;moins 10 K  mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;570;745
0309;Mauvais client;de 23 à 39 ans;marié;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;employé;moins de 2K encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;595;370
0315;Bon client;de 23 à 39 ans;célibataire;anc. de 1  à 4 ans;Non domicilié;pas d'épargne;autre;de 2 à 5 K  encours;plus de 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;110;480
0321;Bon client;de 23 à 39 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;plus de 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;370;510
0327;Bon client;de 40 à  50 ans;marié;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;employé;moins de 2K encours;plus de 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;775;520
0333;Bon client;plus de  50 ans;marié;anc. plus   12 ans;Oui domicilié;plus de 100K épargne;cadre;plus de 5 K encours;plus de 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;850;890
0339;Bon client;plus de  50 ans;marié;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;plus de 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;845;545
0345;Bon client;plus de  50 ans;divorcé;anc. de 1  à 4 ans;Oui domicilié;pas d'épargne;cadre;de 2 à 5 K  encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;655;575
0351;Bon client;de 23 à 39 ans;célibataire;anc. de 4  à 6 ans;Oui domicilié;moins de 10K épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;610;560
0357;Bon client;plus de  50 ans;marié;anc. plus   12 ans;Oui domicilié;de 10 à 100K épargne;cadre;plus de 5 K encours;plus de 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;890;805
0363;Mauvais client;de 40 à  50 ans;marié;anc. plus   12 ans;Oui domicilié;moins de 10K épargne;employé;plus de 5 K encours;de 30 à 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;760;775
0369;Bon client;plus de  50 ans;divorcé;anc. plus   12 ans;Oui domicilié;moins de 10K épargne;autre;plus de 5 K encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;485;790
0376;Bon client;de 23 à 39 ans;célibataire;anc. plus   12 ans;Oui domicilié;moins de 10K épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;650;705
0382;Mauvais client;plus de  50 ans;marié;anc. de 1  à 4 ans;Oui domicilié;pas d'épargne;employé;moins de 2K encours;de 30 à 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;590;375
0388;Bon client;plus de  50 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;cadre;moins de 2K encours;de 30 à 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;870;480
0394;Bon client;de 23 à 39 ans;marié;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;cadre;de 2 à 5 K  encours;de 10 à 30K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;590;480
0400;Bon client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;moins de 10K épargne;cadre;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;665;505
0406;Bon client;de 40 à  50 ans;marié;anc. plus   12 ans;Oui domicilié;plus de 100K épargne;autre;plus de 5 K encours;plus de 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;860;920
0412;Bon client;de 40 à  50 ans;marié;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 10 à 30K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;770;460
0418;Bon client;de 23 à 39 ans;marié;anc. de 4  à 6 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;675;620
0424;Bon client;plus de  50 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;moins de 10K épargne;autre;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;720;565
0430;Bon client;de 40 à  50 ans;marié;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;600;520
0436;Mauvais client;de 40 à  50 ans;marié;anc. plus   12 ans;Oui domicilié;de 10 à 100K épargne;employé;plus de 5 K encours;plus de 50K mouvt;plus de 100  débits;découvert  interdit;chéquier   autorisé;860;850
0442;Bon client;de 40 à  50 ans;divorcé;anc. 1 an  ou moins;Oui domicilié;moins de 10K épargne;employé;plus de 5 K encours;de 30 à 50K mouvt;moins de 40  débits;découvert  autorisé;chéquier   autorisé;440;680
0448;Bon client;de 23 à 39 ans;marié;anc. plus   12 ans;Non domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;675;660
0454;Bon client;de 23 à 39 ans;divorcé;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  autorisé;chéquier   autorisé;630;465
0460;Bon client;de 40 à  50 ans;célibataire;anc. de 4  à 6 ans;Oui domicilié;de 10 à 100K épargne;cadre;plus de 5 K encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;485;710
0466;Bon client;plus de  50 ans;marié;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;plus de 50K mouvt;moins de 40  débits;découvert  autorisé;chéquier   autorisé;820;735
0472;Bon client;de 40 à  50 ans;marié;anc. de 1  à 4 ans;Oui domicilié;pas d'épargne;cadre;de 2 à 5 K  encours;plus de 50K mouvt;moins de 40  débits;découvert  autorisé;chéquier   autorisé;785;575
0478;Mauvais client;de 23 à 39 ans;célibataire;anc. 1 an  ou moins;Non domicilié;pas d'épargne;employé;moins de 2K encours;plus de 50K mouvt;moins de 40  débits;découvert  autorisé;chéquier   interdit;305;265
0484;Bon client;de 40 à  50 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;805;765
0490;Bon client;plus de  50 ans;marié;anc. de 4  à 6 ans;Oui domicilié;pas d'épargne;employé;moins de 2K encours;plus de 50K mouvt;plus de 100  débits;découvert  interdit;chéquier   autorisé;805;465
0496;Bon client;de 23 à 39 ans;célibataire;anc. de 6  à 12 ans;Non domicilié;moins de 10K épargne;cadre;plus de 5 K encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;665;770
0502;Bon client;de 23 à 39 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;plus de 50K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;815;670
0507;Bon client;de 40 à  50 ans;marié;anc. plus   12 ans;Oui domicilié;moins de 10K épargne;employé;plus de 5 K encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;815;910
0514;Mauvais client;plus de  50 ans;marié;anc. plus   12 ans;Oui domicilié;de 10 à 100K épargne;autre;plus de 5 K encours;de 30 à 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;420;810
0520;Bon client;de 40 à  50 ans;célibataire;anc. plus   12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;670;665
0526;Bon client;de 40 à  50 ans;marié;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;775;655
0532;Bon client;de 23 à 39 ans;marié;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;660;725
0538;Bon client;plus de  50 ans;veuf;anc. de 4  à 6 ans;Non domicilié;pas d'épargne;cadre;moins de 2K encours;de 10 à 30K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;635;315
0544;Mauvais client;de 40 à  50 ans;marié;anc. de 1  à 4 ans;Non domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;plus de 100  débits;découvert  interdit;chéquier   interdit;600;285
0550;Mauvais client;de 23 à 39 ans;divorcé;anc. 1 an  ou moins;Oui domicilié;moins de 10K épargne;employé;moins de 2K encours;moins 10 K  mouvt;plus de 100  débits;découvert  autorisé;chéquier   interdit;425;215
0556;Bon client;de 40 à  50 ans;marié;anc. 1 an  ou moins;Non domicilié;pas d'épargne;autre;de 2 à 5 K  encours;de 30 à 50K mouvt;plus de 100  débits;découvert  interdit;chéquier   autorisé;480;425
0562;Mauvais client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Non domicilié;pas d'épargne;autre;moins de 2K encours;de 10 à 30K mouvt;plus de 100  débits;découvert  interdit;chéquier   interdit;390;100
0568;Bon client;plus de  50 ans;veuf;anc. plus   12 ans;Oui domicilié;pas d'épargne;cadre;moins de 2K encours;de 10 à 30K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;830;465
0574;Mauvais client;moins de 23 ans;célibataire;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;600;585
0580;Bon client;plus de  50 ans;marié;anc. de 4  à 6 ans;Oui domicilié;moins de 10K épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;730;660
0586;Mauvais client;plus de  50 ans;veuf;anc. de 1  à 4 ans;Non domicilié;pas d'épargne;employé;de 2 à 5 K  encours;plus de 50K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;585;520
0592;Bon client;de 40 à  50 ans;divorcé;anc. 1 an  ou moins;Oui domicilié;de 10 à 100K épargne;employé;plus de 5 K encours;de 30 à 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;650;725
0599;Bon client;de 40 à  50 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;690;660
0605;Bon client;moins de 23 ans;célibataire;anc. de 1  à 4 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 10 à 30K mouvt;moins de 40  débits;découvert  autorisé;chéquier   autorisé;520;490
0611;Bon client;de 23 à 39 ans;célibataire;anc. de 6  à 12 ans;Oui domicilié;moins de 10K épargne;autre;de 2 à 5 K  encours;de 10 à 30K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;620;620
0617;Mauvais client;de 23 à 39 ans;marié;anc. de 1  à 4 ans;Oui domicilié;pas d'épargne;employé;moins de 2K encours;de 10 à 30K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;730;315
0623;Bon client;de 23 à 39 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;475;465
0630;Bon client;plus de  50 ans;marié;anc. plus   12 ans;Non domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;770;610
0636;Bon client;de 23 à 39 ans;célibataire;anc. de 4  à 6 ans;Non domicilié;pas d'épargne;autre;de 2 à 5 K  encours;de 10 à 30K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;565;460
0642;Bon client;de 40 à  50 ans;marié;anc. 1 an  ou moins;Non domicilié;pas d'épargne;autre;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;680;455
0648;Bon client;de 23 à 39 ans;marié;anc. de 4  à 6 ans;Oui domicilié;pas d'épargne;employé;moins de 2K encours;plus de 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;595;425
0654;Bon client;moins de 23 ans;célibataire;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;plus de 50K mouvt;moins de 40  débits;découvert  autorisé;chéquier   interdit;620;560
0660;Bon client;de 40 à  50 ans;marié;anc. plus   12 ans;Oui domicilié;de 10 à 100K épargne;employé;plus de 5 K encours;plus de 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;780;835
0666;Mauvais client;moins de 23 ans;marié;anc. 1 an  ou moins;Non domicilié;pas d'épargne;autre;moins de 2K encours;moins 10 K  mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;115;195
0673;Bon client;plus de  50 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;785;770
0679;Mauvais client;de 23 à 39 ans;marié;anc. de 4  à 6 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 10 à 30K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;650;525
0685;Bon client;plus de  50 ans;célibataire;anc. plus   12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;plus de 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;780;700
0691;Bon client;de 23 à 39 ans;marié;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;565;500
0697;Bon client;plus de  50 ans;marié;anc. de 1  à 4 ans;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;de 10 à 30K mouvt;moins de 40  débits;découvert  autorisé;chéquier   autorisé;650;550
0703;Bon client;de 40 à  50 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;cadre;de 2 à 5 K  encours;plus de 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;860;670
0710;Bon client;moins de 23 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;630;615
0716;Bon client;de 40 à  50 ans;marié;anc. de 6  à 12 ans;Oui domicilié;plus de 100K épargne;cadre;plus de 5 K encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;740;925
0722;Bon client;de 23 à 39 ans;célibataire;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;640;685
0728;Bon client;de 23 à 39 ans;célibataire;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;cadre;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;700;650
0734;Bon client;de 23 à 39 ans;divorcé;anc. plus   12 ans;Oui domicilié;de 10 à 100K épargne;employé;plus de 5 K encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;720;900
0740;Bon client;de 23 à 39 ans;marié;anc. de 4  à 6 ans;Oui domicilié;pas d'épargne;cadre;de 2 à 5 K  encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;785;615
0746;Bon client;plus de  50 ans;divorcé;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;760;730
